genome1,species,population
JMF_2102_8_0001,N,N0
JMF_2102_8_0003,N,N0
131976_min1000,N,N1
131975_min1000,N,N1
JMF_2102_8_0007,N,N2
131974_min1000,N,N2
JMF_2102_8_0005_filtered,N,N2
JMF_2102_8_0009_filtered,N,N2
JMF_2102_8_0011_filtered,N,N2
cnoahi1_min1000,N,N3
131979_min1000,N,N3
131978_min1000,N,N3
131973_min1000,N,N3
JMF_2102_8_0010,N,N4
JMF_2102_8_0014_filtered,N,N4
JMF_2102_8_0002_filtered,N,N5
JMF_2102_8_0015_filtered,N,N5
JMF_2102_8_0008,N,N6
JMF_2102_8_0006,N,N7
JMF_2102_8_0004_filtered,N,N8
131977_min1000,N,N9
131982_min1000,S,S0
131980_min1000,S,S0
131980_spades_pomoxis_polished_min2000,S,S0
131981_min1000,S,S0
JMF_2102_8_0023_filtered,S,S0
JMF_2102_8_0021,S,S0
JMF_2102_8_0019_filtered,S,S1
JMF_2102_8_0017_filtered,S,S1
JMF_2102_8_0018,S,S1
JMF18_spades_pomoxis_polished_min2000,S,S1
JMF_2102_8_0012_filtered,S,S1
JMF_2102_8_0024_filtered,S,S1
JMF_2102_8_0013_filtered,S,S1
JMF_2102_8_0020_filtered,S,S1
JMF_2102_8_0016,S,S1