ID,SampleName,S0_copies,S1_copies
1-0-4,R1-d0-C4,379.7,314.4
4-13-7,R4-d13-C7,272.6,18.2
3-33-5,R3-d33-C5,77.7,2.45
2-0-8,R2-d0-C8,594.4,93.3
3-0-8,R3-d0-C8,586.1,1.69
1-0-6,R1-d0-C6,459.3,386.2
1-13-6,R1-d13-C6,2.61,1.74
1-0-3,R1-d0-C3,916,2109
1-33-8,R1-d33-C8,85.2,1.7
1-0-8,R1-d0-C8,302.6,587.1
3-13-3,R3-d13-C3,1252,0
3-13-6,R3-d13-C6,558.4,167.8
1-0-2,R1 d0 C2,477.7,18.1
2-0-2,R2 d0 C2,1229,1257
1-0-8,R1 d0 C8,1884,3340
3-0-7,R3 d0 C7,117,233.7
4-0-4,R4 d0 C4,512.9,305.4
4-0-5,R4 d0 C5,141,8.84
1-13-3,R1 d13 C3,187.7,792.6
1-0-5,R1 d0 C5,129.9,58.3
2-0-7,R2 d0 C7,276.7,17.8
3-0-5,R3 d0 C5,202.7,2.17
2-0-6,R2 d0 C6,79,7.17
1-0-7,R1 d0 C7,1603,790.3
3-33-1,R3-d33-c1,424.9,222.3
3-33-2,R3-d33-c2,492.5,242.3
1-0-1,R1-d0-c1,2643,2481
2-0-1,R2-d0-c1,111,247.3
4-13-1,R4-d13-c1,367.2,0
4-13-2,R4-d13-c2,142.8,7.32
4-0-1,R4-d0-c1,181.5,1.69
4-0-2,R4-d0-c2,284.2,10.1
4-13-5,R4-d13-c5,465.6,115
3-0-2,R3-d0-c2,448.4,198.6
3-13-1,R3-d13-c1,240.9,60.4
3-0-1,R3-d0-c1,113.5,55.4
2-13-4,R2-d13-C4,831.9,3.24
4-33-8,R4-d33-C8,152.8,5.55
4-0-8,R4-d0-C8,546.9,0.83
3-0-6,R3-d0-C6,136.9,4.96
2-13-2,R2 d13 C2,52.6,512.2
4-0-6,R4 d0 C6,331.1,542.6
4-33-2,R4 d33 C2,72.9,0.97
1-33-1,R1 d33 C1,2.86,13.3
4-33-1,R4 d33 C1,667.7,0
2-33-1,R2 d33 C1,8.39,43.2
2-33-2,R2 d33 C2,118.2,29
2-13-1,R2 d13 C1,722.7,263.1
1-33-2,R1 d33 C2,250.1,90.3
1-13-2,R1 d13 C2,559.2,1688
3-13-2,R3 d13 C2,138.7,307.7
1-13-1,R1 d13 C1,34.8,28.7
1-0-4,R1-d0-C4,2371,2290
1-13-8,R1-d13-C8,379.7,165.8
1-0-3,R1-d0-C3,1731,3864
3-33-3,R3-d33-C3,452.6,0
2-13-8,R2-d13-C8,69.1,23.9
1-0-6,R1-d0-C6,2078,853.7
1-0-1,R1-d0-C1,1739,1236
1-13-7,R1-d13-C7,710.3,1063
2-13-7,R2 d13 C7,323,91.2
1-33-5,R1 d33 C5,1162,483.6
2-33-6,R2 d33 C6,0.84,0
2-0-3,R2 d0 C3,715.8,57.6
2-0-4,R2 d0 C4,212,0
1-33-6,R1 d33 C6,76.5,7.47
2-33-4,R2 d33 C4,65.1,0
2-33-8,R2 d33 C8,35.1,19.2
2-33-7,R2 d33 C7,11,3.66
2-13-5,R2 d13 C5,33.4,5.41
2-13-6,R2 d13 C6,41.1,7.63
2-13-3,R2 d13 C3,83,20.5
1-13-5,R1 d13 C5,53.3,45.6
1-33-4,R1 d33 C4,196.8,160.3
2-33-5,R2 d33 C5,1854,4.65
1-33-7,R1 d33 C7,73.4,23
2-33-3,R2 d33 C3,98.6,0.89
1-13-4,R1 d13 C4,172.4,332.1
3-0-3,R3 d0 C3,140.8,1.96
3-13-7,R3 d13 C7,333.1,43.4
1-33-3,R1 d33 C3,30.8,158.3
3-13-8,R3 d13 C8,578.7,208.4
3-13-4,R3 d13 C4,290.9,31.9
3-13-5,R3 d13 C5,112.7,2.08
3-33-4,R3-d33-C4,193.2,191.4
3-33-8,R3-d33-C8,127.3,84.2
3-33-6,R3-d33-C6,162.8,221.7
3-33-7,R3-d33-C7,21.6,82
4-13-8,R4-d13-C8,716.1,55.5
4-33-5,R4-d33-C5,161.1,103.3
4-13-4,R4-d13-C4,770.3,544.1
4-0-7,R4-d0-C7,83.1,20.3
4-33-4,R4-d33-C4,133.7,39
3-0-4,R3-d0-C4,1072,2.78
4-33-3,R4-d33-C3,761.3,350.2
4-33-7,R4-d33-C7,13,0
4-13-6,R4 d13 C6,100.2,72.1
4-13-3,R4 d13 C3,13.1,0.14
4-33-6,R4 d33 C6,0.65,7.83