Treatment,Measure,Copies,Inoculation,Concentration_mM
Acetate,S0,78155,Coculture,5
Acetate,S0,96795,Coculture,5
Acetate,S0,91809,Coculture,5
Acetate,S0,86191,Coculture,5
Acetate,S0,69155,Coculture,5
Acetate,S0,72452,Coculture,5
Acetate,S0,83843,Coculture,5
Control,S0,47721,Coculture,0
Control,S0,59571,Coculture,0
Control,S0,47872,Coculture,0
Control,S0,39237,Coculture,0
Control,S0,39830,Coculture,0
Control,S0,36982,Coculture,0
Propionate,S0,2250,Coculture,5
Propionate,S0,1408,Coculture,5
Propionate,S0,1223,Coculture,5
Propionate,S0,1189,Coculture,5
Propionate,S0,693,Coculture,5
Propionate,S0,889,Coculture,5
Propionate,S0,893,Coculture,5
Acetate,S0,66012,Strain,5
Acetate,S0,61831,Strain,5
Acetate,S0,65857,Strain,5
Acetate,S0,65597,Strain,5
Acetate,S0,48234,Strain,5
Acetate,S0,69758,Strain,5
Acetate,S0,64724,Strain,5
Control,S0,45108,Strain,0
Control,S0,46407,Strain,0
Control,S0,46627,Strain,0
Control,S0,46811,Strain,0
Control,S0,43502,Strain,0
Control,S0,45970,Strain,0
Propionate,S0,5309,Strain,5
Propionate,S0,4194,Strain,5
Propionate,S0,4204,Strain,5
Propionate,S0,4800,Strain,5
Propionate,S0,4335,Strain,5
Propionate,S0,4553,Strain,5
Propionate,S0,4926,Strain,5
Acetate,S1,10977,Coculture,5
Acetate,S1,15574,Coculture,5
Acetate,S1,15774,Coculture,5
Acetate,S1,15493,Coculture,5
Acetate,S1,15786,Coculture,5
Acetate,S1,18056,Coculture,5
Acetate,S1,22515,Coculture,5
Control,S1,21203,Coculture,0
Control,S1,27760,Coculture,0
Control,S1,34047,Coculture,0
Control,S1,37735,Coculture,0
Control,S1,39473,Coculture,0
Control,S1,39622,Coculture,0
Propionate,S1,47265,Coculture,5
Propionate,S1,35857,Coculture,5
Propionate,S1,36729,Coculture,5
Propionate,S1,49889,Coculture,5
Propionate,S1,29789,Coculture,5
Propionate,S1,40646,Coculture,5
Propionate,S1,42359,Coculture,5
Acetate,S1,32000,Strain,5
Acetate,S1,40638,Strain,5
Acetate,S1,30530,Strain,5
Acetate,S1,29708,Strain,5
Acetate,S1,39573,Strain,5
Acetate,S1,25027,Strain,5
Acetate,S1,29172,Strain,5
Control,S1,38683,Strain,0
Control,S1,32049,Strain,0
Control,S1,33414,Strain,0
Control,S1,30299,Strain,0
Control,S1,36599,Strain,0
Control,S1,33187,Strain,0
Propionate,S1,27309,Strain,5
Propionate,S1,24483,Strain,5
Propionate,S1,29528,Strain,5
Propionate,S1,31209,Strain,5
Propionate,S1,24782,Strain,5
Propionate,S1,27705,Strain,5
Propionate,S1,28711,Strain,5