ID,16S_total_copies
1-0-1,2.21E+05
1-0-1,2.21E+05
1-0-2,9.04E+04
1-0-2,9.04E+04
1-0-3,2.33E+05
1-0-3,2.33E+05
1-0-4,3.18E+04
1-0-4,3.18E+04
1-0-5,1.78E+04
1-0-5,1.78E+04
1-0-6,1.52E+05
1-0-6,1.52E+05
1-0-7,6.89E+04
1-0-7,6.89E+04
1-0-8,4.05E+04
1-0-8,4.05E+04
1-13-1,2.28E+04
1-13-1,2.28E+04
1-13-2,1.45E+05
1-13-2,1.45E+05
1-13-3,1.47E+05
1-13-3,1.47E+05
1-13-4,5.31E+04
1-13-4,5.31E+04
1-13-5,9.72E+03
1-13-5,9.72E+03
1-13-6,8.89E+04
1-13-6,8.89E+04
1-13-7,2.14E+05
1-13-7,2.14E+05
1-13-8,8.60E+04
1-13-8,8.60E+04
1-33-1,1.72E+05
1-33-1,1.72E+05
1-33-2,6.08E+05
1-33-2,6.08E+05
1-33-3,1.79E+05
1-33-3,1.79E+05
1-33-4,6.98E+04
1-33-4,6.98E+04
1-33-5,1.95E+05
1-33-5,1.95E+05
1-33-6,4.81E+05
1-33-6,4.81E+05
1-33-7,3.07E+05
1-33-7,3.07E+05
1-33-8,2.18E+05
1-33-8,2.18E+05
2-0-1,1.09E+05
2-0-1,1.09E+05
2-0-2,1.40E+05
2-0-2,1.40E+05
2-0-3,1.42E+05
2-0-3,1.42E+05
2-0-4,5.39E+04
2-0-4,5.39E+04
2-0-6,1.20E+05
2-0-6,1.20E+05
2-0-7,3.27E+04
2-0-7,3.27E+04
2-0-8,1.60E+05
2-0-8,1.60E+05
2-13-1,1.48E+05
2-13-1,1.48E+05
2-13-2,3.44E+05
2-13-2,3.44E+05
2-13-3,6.60E+04
2-13-3,6.60E+04
2-13-4,2.56E+05
2-13-4,2.56E+05
2-13-5,1.01E+05
2-13-5,1.01E+05
2-13-6,1.12E+05
2-13-6,1.12E+05
2-13-7,9.08E+04
2-13-7,9.08E+04
2-13-8,3.06E+04
2-13-8,3.06E+04
2-33-1,1.26E+05
2-33-1,1.26E+05
2-33-2,5.45E+04
2-33-2,5.45E+04
2-33-3,5.22E+05
2-33-3,5.22E+05
2-33-4,1.38E+05
2-33-4,1.38E+05
2-33-5,9.21E+05
2-33-5,9.21E+05
2-33-6,1.21E+05
2-33-6,1.21E+05
2-33-7,9.81E+04
2-33-7,9.81E+04
2-33-8,1.86E+05
2-33-8,1.86E+05
3-0-1,1.36E+05
3-0-1,1.36E+05
3-0-2,4.62E+05
3-0-2,4.62E+05
3-0-3,4.03E+05
3-0-3,4.03E+05
3-0-4,7.00E+05
3-0-4,7.00E+05
3-0-5,6.91E+05
3-0-5,6.91E+05
3-0-6,3.89E+05
3-0-6,3.89E+05
3-0-7,3.17E+05
3-0-7,3.17E+05
3-0-8,3.51E+05
3-0-8,3.51E+05
3-13-1,1.94E+05
3-13-1,1.94E+05
3-13-2,2.52E+05
3-13-2,2.52E+05
3-13-3,6.63E+05
3-13-3,6.63E+05
3-13-4,1.37E+05
3-13-4,1.37E+05
3-13-5,3.50E+05
3-13-5,3.50E+05
3-13-6,No Ct
3-13-6,5.99E+05
3-13-7,2.90E+05
3-13-7,2.90E+05
3-13-8,4.37E+05
3-13-8,4.37E+05
3-33-1,7.59E+05
3-33-1,7.59E+05
3-33-2,8.05E+05
3-33-2,8.05E+05
3-33-3,7.18E+05
3-33-3,7.18E+05
3-33-4,3.12E+05
3-33-4,3.12E+05
3-33-5,1.44E+06
3-33-5,1.44E+06
3-33-6,6.47E+05
3-33-6,6.47E+05
3-33-7,7.20E+05
3-33-7,7.20E+05
3-33-8,5.79E+05
3-33-8,5.79E+05
4-0-1,8.28E+05
4-0-1,8.28E+05
4-0-2,1.44E+06
4-0-2,1.44E+06
4-0-4,5.51E+05
4-0-4,5.51E+05
4-0-5,6.10E+05
4-0-5,6.10E+05
4-0-6,5.06E+05
4-0-6,5.06E+05
4-0-7,7.48E+05
4-0-7,7.48E+05
4-0-8,7.28E+05
4-0-8,7.28E+05
4-13-1,2.74E+05
4-13-1,2.74E+05
4-13-2,4.15E+05
4-13-2,4.15E+05
4-13-3,2.95E+05
4-13-3,2.95E+05
4-13-4,1.16E+06
4-13-4,1.16E+06
4-13-5,3.45E+05
4-13-5,3.45E+05
4-13-6,5.83E+05
4-13-6,5.83E+05
4-13-7,2.69E+05
4-13-7,2.69E+05
4-13-8,1.60E+06
4-13-8,1.60E+06
4-33-1,1.43E+06
4-33-1,1.43E+06
4-33-2,4.19E+05
4-33-2,4.19E+05
4-33-3,2.02E+05
4-33-3,2.02E+05
4-33-4,1.19E+06
4-33-4,1.19E+06
4-33-5,3.87E+05
4-33-5,3.87E+05
4-33-6,1.54E+06
4-33-6,1.54E+06
4-33-7,1.85E+05
4-33-7,1.85E+05
4-33-8,5.86E+05
4-33-8,5.86E+05
1-0-1x,4.50E+05
1-0-1x,4.50E+05
1-0-3x,5.80E+05
1-0-3x,5.80E+05
1-0-4x,7.06E+05
1-0-4x,7.06E+05
1-0-6x,9.73E+05
1-0-3x,9.73E+05
1-0-8x,2.60E+06
1-0-8x,2.60E+06